Menu Type,Menu Depth,Input Method,Target Item
Marking,1,Mouse,Animals
Marking,1,Mouse,Food
Marking,1,Mouse,Clothing
Marking,2,Mouse,Asia
Marking,2,Mouse,Fish
Marking,2,Mouse,Tops
Marking,3,Mouse,Cheese
Marking,3,Mouse,Goldfish
Marking,3,Mouse,Heels
Marking,1,Track Pad,Food
Marking,1,Track Pad,Clothing
Marking,1,Track Pad,Continents
Marking,2,Track Pad,Bottoms
Marking,2,Track Pad,America
Marking,2,Track Pad,Europe
Marking,3,Track Pad,Hamster
Marking,3,Track Pad,Owl
Marking,3,Track Pad,Butter
Radial,1,Mouse,Animals
Radial,1,Mouse,Clothing
Radial,1,Mouse,Continents
Radial,2,Mouse,Shoes
Radial,2,Mouse,Fruit
Radial,2,Mouse,Dairy
Radial,3,Mouse,Skirt
Radial,3,Mouse,Celery
Radial,3,Mouse,Fox
Radial,1,Track Pad,Food
Radial,1,Track Pad,Animals
Radial,1,Track Pad,Continents
Radial,2,Track Pad,Vegetables
Radial,2,Track Pad,Mammals
Radial,2,Track Pad,Africa
Radial,3,Track Pad,Pineapple
Radial,3,Track Pad,Yoghurt
Radial,3,Track Pad,T-Shirt
